
country,year,bank_z_score,capital_adequacy_ratio,credit_private_sector,gdp_growth,inflation,npl_ratio,credit_growth,ecb_refi_rate,interest_rate,credit_growth_log,unemployment
CY,2019,8.028267,19.553393,106.611493751467,5.87559583386607,1.35008643696904,17.0931036488541,-21.16904393744983,0.0,0.0,-23.786442283365883,7.155
CY,2020,7.120387,20.270993,106.402007576953,-3.22063018637567,-1.20792435222243,15.0190835443793,-0.1964949248364877,0.0,0.0,-0.1966882293777949,7.755
CY,2021,6.074417,,87.3329388092712,11.3881892684305,3.04273022296344,8.99828242700788,-17.921718961825505,0.0,0.0,-19.74967473022975,7.513
CY,2022,,,71.4024189407579,7.20486780743879,6.70926670266638,7.65863990451332,-18.24113568799557,2.5,2.5,-20.13959501379228,6.806
DE,2000,15.08377,11.7,,2.87724595591061,-0.343812764756009,,,4.75,4.75,,7.917
DE,2001,14.52654,12.0,111.240170458005,1.63654099437316,1.43298952298214,,-0.1721170395869165,3.25,3.25,,7.773
DE,2002,13.23041,12.7,110.165745012493,-0.228310223930706,1.49930878208148,,-0.9658610204284156,2.75,2.75,-0.9705557119030316,8.482
DE,2003,10.28996,12.4,108.505942047742,-0.529929010433477,1.32178167271502,,-1.5066416194641885,2.0,2.0,-1.5181067692164874,9.779
DE,2004,9.650506,12.4,105.024726999965,1.16236825444811,1.15505927844879,,-3.208317426750029,2.0,2.0,-3.26091192272866,10.727
DE,2005,11.15748,12.2,103.75352043032,0.885697256705441,0.534316505132452,,-1.2103878828891634,2.25,2.25,-1.2177727276992734,11.193
DE,2006,11.11481,12.5,100.341277234171,3.85573614635729,0.446999825398549,,-3.288797509710162,3.5,3.5,-3.344094235565187,10.277
DE,2007,12.14456,12.9,95.4983439670839,2.89010717888073,1.83955503427451,,-4.826461652251979,4.0,4.0,-4.946824136046324,8.732
DE,2008,6.980283,13.6,95.3869976213277,0.910403214153277,0.947839882344795,,-0.1165950540405025,2.5,2.5,-0.1166630789545486,7.508
DE,2009,10.57427,14.8,96.8244036763439,-5.54516454479311,1.994704074292,,1.5069203254750807,1.0,1.0,1.4956790716115442,7.88
DE,2010,12.41928,16.05,86.7438055702086,4.14676755040489,0.682498550164752,,-10.411216308475137,1.0,1.0,-10.994005585736044,7.043
DE,2011,11.49593,16.4,83.222056837991,3.75796884487347,1.23193490090844,,-4.059942619611223,1.0,1.0,-4.144659182816568,5.967
DE,2012,12.77894,17.94,82.158956998693,0.47429132103845,1.43207639952682,,-1.277425576452107,0.75,0.75,-1.2856548136721102,5.372
DE,2013,15.58472,19.16,80.6548017633437,0.386224592046474,1.99503160336462,,-1.830786672928708,0.25,0.25,-1.847752968980032,5.316
DE,2014,16.60348,17.96,77.7666598552176,2.16949889758517,1.90082490446211,,-3.5808679024473378,0.05,0.05,-3.646553832106392,4.979
DE,2015,16.08827,18.26,76.6093367685901,1.65271978656361,1.68539776821872,,-1.4881995559307135,0.05,0.05,-1.4993843523038564,4.612
DE,2016,16.76427,18.79,75.8180413064632,2.29471066413561,1.25625863629057,,-1.0328968967805108,0.0,0.0,-1.0382682961354917,4.104
DE,2017,18.60744,19.38,75.6631573259364,2.71602454639843,1.46798916726962,,-0.2042838061468099,0.0,0.0,-0.2044927501217763,3.781
DE,2018,22.48842,18.9,76.2231684605363,1.11644310902427,1.86533423151265,,0.7401371478426677,0.0,0.0,0.7374115732523556,3.384
DE,2019,16.76535,18.58,77.552222423392,0.987893350164853,2.01597612276328,,1.743635156735568,0.0,0.0,1.72860826358896,3.163
DE,2020,15.46659,19.19,82.9487595735182,-4.09513751682526,1.75504599873261,,6.9585847851839855,0.0,0.0,6.727151546510779,3.881
DE,2021,16.04881,,81.8025491913417,3.6699998840452,2.80292936590148,,-1.3818294427424327,0.0,0.0,-1.3914655787437449,3.594
DE,2022,,,80.8987948455303,1.36973104612758,6.09185663198414,1.23497612551348,-1.104799733926931,2.5,2.5,-1.1109479719375592,3.12
EE,2000,11.10543,13.2,,10.0876385800462,3.68470254992069,,,4.75,4.75,,13.36
EE,2001,12.44925,14.4,,5.88074589534277,6.84871839467411,,,3.25,3.25,,13.134
EE,2002,12.52533,15.3,,6.93300082616575,4.80387804769032,,,2.75,2.75,,10.026
EE,2003,12.24716,12.5,,7.59630181032645,3.88938564810275,,,2.0,2.0,,11.288
EE,2004,7.686191,11.5,40.263211576482,6.80070110758655,4.68945896823254,,,2.0,2.0,,10.248
EE,2005,6.850706,11.7,56.5483477858333,9.52305386462066,5.92389435266909,,40.44668960005056,2.25,2.25,33.96577973310255,8.033
EE,2006,6.745048,13.2,76.2052596376597,9.76257131206653,8.97863765026128,,34.76124877471825,3.5,3.5,29.833449916448096,5.915
EE,2007,7.595668,14.8,83.7303592215246,7.57091879311882,12.3541655693122,,9.874777173708482,4.0,4.0,9.417114201709076,4.592
EE,2008,7.323383,18.9,89.6508209136549,-5.12531154308803,6.79510897052367,1.9446847760978,7.070866227226613,2.5,2.5,6.832073043820586,5.455
EE,2009,4.597029,22.299999,101.354731512562,-14.6302225427906,-0.387627029587321,5.20231138473194,13.05499545863551,1.0,1.0,12.270419980593594,13.548
EE,2010,8.940306,22.06734,92.7704319821655,2.4497502063999,1.81653769106526,5.37548640616725,-8.469559735681942,1.0,1.0,-8.849858854814752,16.707
