
country,year,bank_z_score,bank_z_score_avail,npl_ratio,npl_ratio_filled,imputed_npl,capital_adequacy_ratio,capital_adequacy_ratio_filled,imputed_tier1,credit_to_gdp_ratio,credit_to_gdp_gap,credit_growth,credit_growth_log,gdp_growth,inflation,unemployment,policy_rate,financial_crisis_dummy,debt_crisis_dummy,covid_dummy
HR,2001,5.057924,1,,5.34245735688259,1,18.5,18.5,0,,-0.3283734898759718,,,3.11123487893718,4.22808559680259,15.822,3.25,0,0,0
HR,2002,5.536661,1,,5.34245735688259,1,17.4,17.4,0,,-0.3933531794900773,,,5.80332851682508,3.84070455117511,15.053,2.75,0,0,0
HR,2003,5.092443,1,,5.34245735688259,1,16.5,16.5,0,,-0.4498334153883405,,,5.56837267108266,4.30049516603847,13.924,2.0,0,0,0
HR,2004,5.082476,1,,5.34245735688259,1,16.0,16.0,0,,-0.4879890714685899,,,4.17048487309191,3.62413483551181,13.664,2.0,0,0,0
HR,2005,5.325206,1,,5.34245735688259,1,15.2,15.2,0,,-0.4934966874747601,,,4.32707652205913,3.11436952510556,12.598,2.25,0,0,0
HR,2006,5.564413,1,5.34245735688259,5.34245735688259,0,14.0,14.0,0,,-0.4471529124360955,,,5.0814659040727,3.88062372679858,11.13,3.5,0,0,0
HR,2007,7.2681,1,4.87864305198447,4.87864305198447,0,16.299999,16.299999,0,,-0.324819428507098,,,5.04888620876034,4.28626980768851,9.909,4.0,0,0,0
HR,2008,7.795281,1,4.99056742440643,4.99056742440643,0,15.1,15.1,0,,-0.097886388717967,,,1.96859009281911,5.52922978301194,8.53,2.5,1,0,0
HR,2009,7.754302,1,7.91941760061947,7.91941760061947,0,16.4,16.4,0,,0.2655042481861898,,,-6.81395617789426,2.98499874568037,9.202,1.0,1,0,0
HR,2010,7.730999,1,11.5855332193819,11.5855332193819,0,18.789232,18.789232,0,,0.798189387347378,,,-1.33408152400571,0.920113149429753,11.62,1.0,1,0,0
HR,2011,7.637905,1,12.928961296036,12.928961296036,0,20.46966,20.46966,0,,1.5303508914257549,,,-0.0977514527446601,1.66934505042573,13.678,1.0,0,1,0
HR,2012,7.861647,1,14.5622704712966,14.5622704712966,0,20.894365,20.894365,0,69.2228188173419,2.484188729207929,,,-2.25374558078583,1.41145606381943,15.935,0.75,0,1,0
HR,2013,7.394768,1,16.7568120904944,16.7568120904944,0,20.87,20.87,0,67.9001644266831,2.3439449699075112,-1.910720212288497,-1.929210380082136,-0.125449826211494,0.73288886582057,17.251,0.25,0,1,0
HR,2014,7.605237,1,18.4279034590926,18.4279034590926,0,21.8,21.8,0,66.7345792689311,2.571397809670401,-1.7166161048263406,-1.7315207760028706,-0.5571501973061,0.126544520072585,17.29,0.05,0,0,0
HR,2015,6.566321,1,18.1676735966228,18.1676735966228,0,20.98,20.98,0,63.165435727392,0.5645347546839972,-5.3482670912720405,-5.496599990312845,2.32317515803855,0.12437215819854,16.175,0.05,0,0,0
HR,2016,8.026342,1,15.0408591292296,15.0408591292296,0,22.53,22.53,0,58.9808710490203,-1.9556058033125936,-6.624769749758952,-6.854407667211504,3.46112947356767,0.0151130697192627,13.103,0.0,0,0,0
HR,2017,8.239655,1,12.1373945444085,12.1373945444085,0,23.23,23.23,0,55.9740916379985,-3.2685616628991454,-5.097889124972066,-5.232423746860526,3.28095812140658,1.23163897621677,11.208,0.0,0,0,0
HR,2018,7.880998,1,10.4132460170911,10.4132460170911,0,22.9,22.9,0,54.2678997100027,-3.304718753128689,-3.048181539113237,-3.095604778748795,2.90468149344008,2.02559756591751,8.432,0.0,0,0,0
HR,2019,7.937998,1,7.41124434409121,7.41124434409121,0,23.23,23.23,0,52.9192589760751,-3.027615891059199,-2.485153730169188,-2.5165550141941218,3.10043911443758,1.98838183285723,6.617,0.0,0,0,0
