
country,year,short_nominal_cs,inflation,real_rate_cs
EE,2000,5.0,3.68470254992069,1.31529745007931
EE,2001,3.5,6.84871839467411,-3.34871839467411
EE,2002,3.0,4.80387804769032,-1.8038780476903202
EE,2003,2.25,3.88938564810275,-1.63938564810275
EE,2004,2.25,4.68945896823254,-2.4394589682325396
EE,2005,2.5,5.92389435266909,-3.42389435266909
EE,2006,3.75,8.97863765026128,-5.22863765026128
EE,2007,4.25,12.3541655693122,-8.1041655693122
EE,2008,2.75,6.79510897052367,-4.04510897052367
EE,2009,1.25,-0.387627029587321,1.637627029587321
EE,2010,1.25,1.81653769106526,-0.56653769106526
EE,2011,1.25,5.53917467550018,-4.28917467550018
EE,2012,1.0,4.20552981379841,-3.2055298137984103
EE,2013,0.5,4.12395389036655,-3.6239538903665496
EE,2014,0.3000000007450581,2.85654308393384,-2.556543083188782
EE,2015,0.3000000007450581,1.30643907694559,-1.006439076200532
EE,2016,0.25,2.43852660721117,-2.18852660721117
EE,2017,0.25,3.74109847269489,-3.49109847269489
EE,2018,0.25,4.84907461768212,-4.59907461768212
EE,2019,0.25,3.8226798680774,-3.5726798680774
EE,2020,0.25,0.753338456718083,-0.503338456718083
EE,2021,0.25,5.37232986473111,-5.12232986473111
EE,2022,2.75,15.782419402399,-13.032419402399
ES,2000,5.1,3.41275208349518,1.6872479165048198
ES,2001,3.6,4.16231327621294,-0.5623132762129397
ES,2002,3.1,4.09170227034321,-0.9917022703432097
ES,2003,2.35,4.00396572542915,-1.6539657254291495
ES,2004,2.35,3.9116657619694,-1.5616657619694
ES,2005,2.6,4.21292340639742,-1.6129234063974196
ES,2006,3.85,4.0724888213377,-0.22248882133769987
ES,2007,4.35,3.56123409827231,0.7887659017276896
ES,2008,2.85,2.45204365410383,0.3979563458961701
ES,2009,1.35,0.231283091776064,1.118716908223936
ES,2010,1.35,0.292837731273394,1.057162268726606
ES,2011,1.35,-0.145958771821014,1.495958771821014
ES,2012,1.1,-0.202954992229195,1.302954992229195
ES,2013,0.6,0.438175032697188,0.16182496730281198
ES,2014,0.4000000007450581,-0.22068679671149,0.6206867974565481
ES,2015,0.4000000007450581,0.552441816045786,-0.15244181530072792
ES,2016,0.35,0.372182539615821,-0.022182539615821006
ES,2017,0.35,1.25794431812474,-0.9079443181247401
ES,2018,0.35,1.18735470237598,-0.8373547023759801
ES,2019,0.35,1.42867123652391,-1.0786712365239102
ES,2020,0.35,1.13391454164042,-0.78391454164042
ES,2021,0.35,2.55611236501613,-2.20611236501613
ES,2022,2.85,4.71187421007816,-1.86187421007816
FI,2000,4.8,1.63739243267639,3.16260756732361
FI,2001,3.3,3.30463108407764,-0.004631084077640235
FI,2002,2.8,0.943133244036815,1.8568667559631848
FI,2003,2.05,0.189982953920136,1.8600170460798637
FI,2004,2.05,0.602239790683768,1.4477602093162318
FI,2005,2.3,0.929374287942778,1.3706257120572218
FI,2006,3.55,0.920180213508985,2.629819786491015
FI,2007,4.05,2.75439824542774,1.2956017545722598
FI,2008,2.55,3.03758641607111,-0.4875864160711103
FI,2009,1.05,1.77522561944836,-0.72522561944836
FI,2010,1.05,0.348872946424805,0.701127053575195
FI,2011,1.05,2.60092840038482,-1.55092840038482
FI,2012,0.8,2.94534602282646,-2.14534602282646
FI,2013,0.3,2.56139415952232,-2.2613941595223204
FI,2014,0.1000000007450581,1.64467051608914,-1.5446705153440818
FI,2015,0.1000000007450581,1.63270237918134,-1.5327023784362819
FI,2016,0.05,0.05519539775689,-0.0051953977568899995
FI,2017,0.05,0.836045933090816,-0.7860459330908159
FI,2018,0.05,1.98705901186365,-1.93705901186365
FI,2019,0.05,1.48185903627636,-1.43185903627636
FI,2020,0.05,1.63841596860614,-1.5884159686061399
